EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:04:16"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,TotalCatch

Year,Value
1974,3.062188
1975,4.076833
1976,4.552271
1977,4.834281
1978,4.619951
1979,4.570804
1980,4.959704
1981,5.249505
1982,5.248537
1983,5.245416
1984,5.617033
1985,5.229723
1986,4.710316
1987,4.432915
1988,3.317702
1989,3.450347
1990,3.756835
1991,3.841737
1992,3.497153
1993,3.992042
1994,4.415909
1995,4.723285
1996,4.934984
1997,3.836395
1998,4.155007
1999,4.892252
2000,5.031792
2001,4.153061
2002,3.78109
2003,3.785799
2004,3.730674
2005,2.808869
2006,3.226887
2007,3.103072
2008,3.190288
2009,3.902186
2010,2.834302
2011,2.230362
2012,2.043108
2013,2.290843
2014,2.66007
2015,2.675691
2016,2.659514
2017,2.679162
2018,2.802236
2019,2.492698
2020,2.198938
2021,2.25615
2022,2.496765
2023,2.647384
2024,2.891901
2025,2.974828
2026,2.836215
2027,2.632866
2028,2.543101
2029,2.693286
2030,2.738079
2031,2.769345
2032,3.318001
2033,3.598921
2034,3.292709
2035,3.307628
2036,3.052064
2037,3.274864
2038,3.560499
2039,3.738442
2040,4.275535
2041,4.080081
2042,3.800153
2043,4.136234
2044,4.091389
2045,4.032746
2046,4.147177
2047,4.383289
2048,4.660416
2049,4.688008
2050,4.483176
2051,4.017853
2052,3.917484
2053,3.925539
2054,4.112286
2055,4.726569
2056,4.691238
2057,5.06941
2058,5.349989
2059,4.89688
2060,4.663859
2061,4.824718
2062,4.770428
2063,4.750565
2064,4.822838
2065,4.792667
2066,5.18428
2067,5.025762
2068,4.931507
2069,4.945202
2070,4.863138
2071,4.849938
2072,4.807674
2073,4.808866
2074,4.946057
2075,5.422969
2076,5.743394
2077,5.872818
2078,6.253458
2079,5.501268
2080,4.996205
2081,5.238691
2082,5.460287
2083,5.538676
2084,5.746581
2085,5.872725
2086,5.898218
2087,6.400857
2088,6.115754
2089,6.591761
2090,6.719216
2091,7.066409
2092,7.233466
2093,5.957932
2094,6.604193
2095,5.242685
2096,5.056859
2097,5.490881
2098,5.103474
