EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:29"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,TLC

TimeStep,Value
1,3.355111
2,3.354468
3,3.358521
4,3.36339
5,3.367821
6,3.371467
7,3.374322
8,3.376494
9,3.378109
10,3.379275
11,3.380081
12,3.380599
13,3.386194
14,3.38646
15,3.385923
16,3.38524
17,3.384746
18,3.384609
19,3.384889
20,3.385576
21,3.38663
22,3.38798
23,3.389534
24,3.391188
25,3.402025
26,3.402964
27,3.406106
28,3.408812
29,3.410679
30,3.411807
31,3.41212
32,3.412078
33,3.411887
34,3.411657
35,3.411456
36,3.411321
37,3.409429
38,3.410607
39,3.410814
40,3.410893
41,3.411216
42,3.411929
43,3.413378
44,3.415472
45,3.418094
46,3.421174
47,3.424629
48,3.428366
49,3.411464
50,3.416274
51,3.420206
52,3.423939
53,3.427682
54,3.431447
55,3.434408
56,3.437167
57,3.439788
58,3.442258
59,3.44458
60,3.446764
61,3.464016
62,3.46637
63,3.46822
64,3.469752
65,3.471116
66,3.472378
67,3.475149
68,3.477922
69,3.480539
70,3.482995
71,3.485323
72,3.487543
73,3.521013
74,3.521457
75,3.523651
76,3.525684
77,3.527147
78,3.528069
79,3.52858
80,3.52884
81,3.529009
82,3.529198
83,3.529501
84,3.529973
85,3.515465
86,3.516026
87,3.516507
88,3.517232
89,3.518235
90,3.519545
91,3.521145
92,3.523281
93,3.525956
94,3.529199
95,3.533001
96,3.537289
97,3.549213
98,3.552398
99,3.555586
100,3.55833
101,3.560429
102,3.561843
103,3.561839
104,3.561164
105,3.559976
106,3.558359
107,3.556406
108,3.554212
109,3.572169
110,3.570732
111,3.567898
112,3.56501
113,3.56245
114,3.560332
115,3.555903
116,3.551691
117,3.547905
118,3.544529
119,3.541514
120,3.538812
121,3.582654
122,3.578299
123,3.574727
124,3.5714
125,3.568214
126,3.565148
127,3.564553
128,3.564001
129,3.56347
130,3.562964
131,3.562496
132,3.562065
133,3.530881
134,3.535885
135,3.538654
136,3.541246
137,3.544455
138,3.548186
139,3.551517
140,3.554669
141,3.556803
142,3.557566
143,3.556803
144,3.554515
145,3.56701
146,3.558902
147,3.55299
148,3.547619
149,3.542645
150,3.538231
151,3.536367
152,3.534876
153,3.533849
154,3.533231
155,3.532996
156,3.53308
157,3.529767
158,3.537073
159,3.53602
160,3.532734
161,3.530641
162,3.531353
163,3.53574
164,3.542715
165,3.550933
166,3.55885
167,3.565052
168,3.568568
169,3.547965
170,3.542672
171,3.536202
172,3.528704
173,3.520206
174,3.511755
175,3.503492
176,3.497007
177,3.492057
178,3.488407
179,3.485788
180,3.483975
181,3.496717
182,3.494451
183,3.493689
184,3.493498
185,3.493496
186,3.493534
187,3.492193
188,3.490854
189,3.489585
190,3.488313
191,3.486939
192,3.485351
193,3.484835
194,3.482118
195,3.479903
196,3.47782
197,3.475764
198,3.473733
199,3.472702
200,3.471911
201,3.471232
202,3.470595
203,3.469926
204,3.469172
205,3.538797
206,3.538836
207,3.535505
208,3.531098
209,3.526535
210,3.522038
211,3.515641
212,3.508469
213,3.501071
214,3.49351
215,3.485908
216,3.4784
217,3.411853
218,3.407749
219,3.4072
220,3.407666
221,3.408276
222,3.408771
223,3.410125
224,3.41129
225,3.412391
226,3.413496
227,3.414668
228,3.415956
229,3.381389
230,3.384092
231,3.386021
232,3.387788
233,3.389663
234,3.391737
235,3.393937
236,3.396277
237,3.398652
238,3.400979
239,3.40319
240,3.405242
241,3.415169
242,3.417599
243,3.420899
244,3.423956
245,3.426396
246,3.428204
247,3.430305
248,3.432158
249,3.433785
250,3.435273
251,3.436691
252,3.438083
253,3.439691
254,3.439398
255,3.439444
256,3.439785
257,3.440257
258,3.440772
259,3.441884
260,3.443106
261,3.44446
262,3.44596
263,3.44762
264,3.449433
265,3.505082
266,3.508462
