EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:04:32"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,FeedingTime

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,1,1,1,1,1,1,1,1,1,1,0.9995816,1,0.999754,1,0.9998762,0.9997568,0.9998289,1,0.9995429,0.9995021,1,1
2,1,1,1,1,1,1,1,1,1,1,0.9504437,1,0.9614524,1,0.9697695,0.9919209,0.9888276,1,0.9934934,0.9948378,1,1
3,1,1,1,1,1,1,1,1,1,1,0.8757144,1,0.8968362,1,0.9118399,0.9741727,0.9679385,1,0.9846514,0.9894452,1,1
4,1,1,1,1,1,1,1,1,1,1,0.8049796,1,0.8293551,1,0.8455799,0.9483715,0.9426535,1,0.9755417,0.9851064,1,1
5,1,1,1,1,1,1,1,1,1,1,0.7488723,1,0.7702037,1,0.7830427,0.9176444,0.9166792,1,0.9671418,0.9819269,1,1
6,1,1,1,1,1,1,1,1,1,1,0.7087985,1,0.7229593,1,0.7304342,0.8851936,0.8917578,1,0.9594089,0.979335,1,1
7,1,1,1,1,1,1,1,1,1,1,0.6828378,1,0.6876736,1,0.6899228,0.8536673,0.8684285,1,0.9518258,0.9766068,1,1
8,1,1,1,1,1,1,1,1,1,1,0.668346,1,0.663072,1,0.6614587,0.8249476,0.8467062,1,0.943809,0.9731136,1,1
9,1,1,1,1,1,1,1,1,1,1,0.6629486,1,0.6475912,1,0.6440712,0.8001934,0.8264425,1,0.9348984,0.9684058,1,1
10,1,1,1,1,1,1,1,1,1,1,0.6648244,1,0.6398115,1,0.6366248,0.7799944,0.8074609,1,0.9247766,0.962194,1,1
11,1,1,1,1,1,1,1,1,1,1,0.6726972,1,0.638602,1,0.638201,0.7645456,0.7895914,1,0.9132089,0.9542846,1,1
