EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:04:32"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,Mortality

Year,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1974,151.3997,160.4953,99.23376,20.5811,22.019,8.384425,18.44523,5.248518,5.469374,1.920617,1.515941,0.7760723,1.566382,0.4401003,0.4140731,1.124135,0.4173704,0.8495097,0.1944718,0.1090162,0,0
1975,151.5735,154.9546,101.9707,28.19092,28.71321,11.61438,21.02228,7.747461,5.460894,1.92665,1.654128,0.8123226,1.614527,0.4651412,0.4570166,0.998946,0.4456351,0.8234277,0.1588766,0.09399859,0,0
1976,151.6646,165.8712,100.4771,27.00254,26.71909,11.39098,20.00589,7.211793,5.446764,1.94296,1.868297,0.8368863,1.857014,0.4614311,0.9195737,1.084205,0.3258459,0.9763334,0.1205137,0.07046989,0,0
1977,151.8279,161.1645,103.3316,28.39116,27.44975,12.38785,20.94158,8.259849,5.454257,1.976756,1.69906,0.8705804,1.654313,0.4829712,1.071482,0.9812239,0.2692637,0.8743117,0.1074404,0.06004925,0,0
1978,151.5381,158.404,102.4056,27.37208,26.85874,12.56959,20.80391,8.68342,5.477564,2.018632,2.251136,0.9743962,2.176449,0.521951,1.060757,1.134492,0.2988048,0.7375502,0.07448671,0.04011991,0,0
1979,151.4733,158.1408,101.7517,23.55537,23.2466,10.62611,19.7574,7.307203,5.491166,2.051915,2.314959,1.086136,2.102643,0.5938817,1.068223,1.171288,0.371776,0.7659789,0.04759463,0.02497694,0,0
1980,151.6941,165.5921,101.1668,22.64188,22.93958,9.774728,19.16621,6.944994,5.482512,2.035206,1.980906,1.130583,1.751943,0.6077057,0.7035964,1.091447,0.3771072,0.9183297,0.03827094,0.02018254,0,0
1981,151.8592,164.0529,103.0934,28.48576,28.1623,12.60709,20.82273,10.11117,5.480046,2.003222,1.998095,1.063666,1.805255,0.61956,0.526851,0.9868122,0.3555916,0.8465199,0.04225338,0.02229861,0,0
1982,151.8214,165.2558,102.8775,28.91025,28.48936,13.63671,20.94161,11.13719,5.481177,2.001444,2.047215,0.9907286,2.39123,0.579555,1.050971,1.024585,0.4167454,0.8170808,0.03782791,0.02042357,0,0
1983,152.0463,162.4277,104.9547,26.03884,25.9453,11.61903,20.50947,8.052344,5.492533,2.004628,1.757687,0.946341,1.889147,0.599368,1.054141,0.9559954,0.4058154,0.8595307,0.03571311,0.01890065,0,0
1984,151.9148,164.4869,103.0991,27.08167,26.73193,12.05775,20.43932,8.291618,5.4981,2.035142,2.002679,0.9671273,1.835779,0.5950525,1.068908,0.9354871,0.4542947,0.9874435,0.04189437,0.02196594,0,0
1985,150.5952,150.0811,97.9845,32.06442,26.77171,12.58274,21.01759,9.588927,5.516182,2.062931,3.089794,1.111402,2.837161,0.6326194,1.099671,1.075246,0.5090357,0.8790761,0.03917518,0.02092675,0,0
1986,151.3919,166.3979,100.8714,16.34046,19.20595,8.011471,18.11287,5.509533,5.508223,2.063835,2.447729,1.153428,2.193266,0.6209298,0.6398421,1.098608,0.4700253,1.047037,0.03030558,0.0167806,0,0
1987,149.9178,131.1464,97.34378,35.61883,25.67295,10.08252,21.3211,8.207181,5.536652,2.017598,3.103193,1.257151,2.357675,0.6636645,0.3819203,0.9337451,0.620326,0.9077771,0.03332111,0.01846876,0,0
1988,150.3405,152.9076,97.78714,11.2182,17.28701,6.444722,17.28788,5.181612,5.544313,1.995267,2.908402,1.049763,2.865483,0.621379,0.464314,1.128364,0.7737328,0.9243862,0.03010267,0.01711803,0,0
1989,151.5068,155.4728,101.2801,17.90257,20.55263,6.617246,18.2639,4.744103,5.528532,1.939261,1.277562,0.918798,1.191913,0.6014358,0.2215929,0.7688964,0.6999725,1.079195,0.05878059,0.03048493,0,0
1990,151.4269,156.2581,100.6611,25.41933,26.40112,10.3097,20.08922,7.671795,5.517986,1.931375,1.646542,0.7850628,1.51684,0.5598207,0.3794226,0.7915373,0.5876061,1.057589,0.1136301,0.06205736,0,0
1991,150.5665,141.0428,99.35892,25.42826,25.35336,11.03915,20.8918,8.096009,5.531373,1.947712,2.163051,0.7985523,2.450155,0.5208796,0.9042451,0.9860852,1.052047,1.210931,0.1170882,0.0663111,0,0
1992,151.2045,157.147,99.5686,19.23818,20.28444,8.325276,18.36396,4.953117,5.524686,1.965447,1.669312,0.799325,1.837437,0.4811828,0.737478,1.008156,0.6805049,0.9653626,0.1400017,0.07505349,0,0
1993,151.1704,151.8338,100.0325,24.01272,24.92066,9.463898,19.95079,5.496233,5.517188,1.961473,1.73347,0.8457152,1.497838,0.5494667,0.5188119,0.8553486,0.6212307,0.643968,0.1188377,0.06567026,0,0
