EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:04:33"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,TLC

Year,Value
1974,3.369972
1975,3.386581
1976,3.409409
1977,3.4155
1978,3.431331
1979,3.47511
1980,3.526844
1981,3.52274
1982,3.55748
1983,3.556579
1984,3.568333
1985,3.547599
1986,3.54265
1987,3.543287
1988,3.511519
1989,3.491552
1990,3.474976
1991,3.514651
1992,3.410787
1993,3.393248
1994,3.42821
1995,3.442651
1996,3.51026
1997,3.443699
1998,3.404574
1999,3.427565
2000,3.426039
2001,3.393649
2002,3.356032
2003,3.353102
2004,3.362199
2005,3.345758
2006,3.373719
2007,3.335282
2008,3.316277
2009,3.339391
2010,3.401488
2011,3.39604
2012,3.403322
2013,3.362772
2014,3.407766
2015,3.404398
2016,3.40705
2017,3.455619
2018,3.464783
2019,3.449463
2020,3.458867
2021,3.443472
2022,3.435201
2023,3.423648
2024,3.41185
2025,3.419313
2026,3.409567
2027,3.404711
2028,3.42422
2029,3.441542
2030,3.469396
2031,3.469328
2032,3.45546
2033,3.458512
2034,3.463511
2035,3.464926
2036,3.457613
2037,3.458043
2038,3.474007
2039,3.496492
2040,3.53563
2041,3.553229
2042,3.539496
2043,3.518667
2044,3.488384
2045,3.462508
2046,3.475313
2047,3.473527
2048,3.505743
2049,3.551464
2050,3.560602
2051,3.537996
2052,3.527423
2053,3.520728
2054,3.511005
2055,3.529958
2056,3.541155
2057,3.553802
2058,3.551308
2059,3.533791
2060,3.519799
2061,3.522134
2062,3.528086
2063,3.5283
2064,3.54147
2065,3.537246
2066,3.537694
2067,3.550814
2068,3.558805
2069,3.54617
2070,3.536124
2071,3.540488
2072,3.546592
2073,3.533074
2074,3.551205
2075,3.577931
2076,3.57024
2077,3.56106
2078,3.561947
2079,3.557537
2080,3.555478
2081,3.525738
2082,3.519833
2083,3.526777
2084,3.539095
2085,3.525424
2086,3.505737
2087,3.500802
2088,3.496742
2089,3.491139
2090,3.470073
2091,3.469645
2092,3.481541
2093,3.490898
2094,3.516775
2095,3.544306
2096,3.539211
2097,3.532004
2098,3.516097
