EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:34"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,TotalCatch

Year,Value
1974,3.062188
1975,4.076833
1976,4.552271
1977,4.834281
1978,4.619951
1979,4.570805
1980,4.959704
1981,5.249505
1982,5.248537
1983,5.245417
1984,5.617033
1985,5.229724
1986,4.710316
1987,4.432915
1988,3.317702
1989,3.450346
1990,3.756835
1991,3.841737
1992,3.497154
1993,3.992042
1994,4.41591
1995,4.723285
1996,4.934984
1997,3.836395
1998,4.155007
1999,4.892253
2000,5.031792
2001,4.15306
2002,3.78109
2003,3.785798
2004,3.730674
2005,2.808869
2006,3.226887
2007,3.103072
2008,3.190289
2009,3.902186
2010,2.834302
2011,2.230362
2012,2.043108
2013,2.290843
2014,2.411803
2015,1.82079
2016,1.718557
2017,1.573571
2018,1.295288
2019,1.192799
2020,1.254128
2021,1.360602
2022,1.49129
2023,1.577343
2024,1.745334
2025,1.817541
2026,1.695655
2027,1.730094
2028,1.760092
2029,1.734041
2030,1.651965
2031,1.542261
2032,1.551848
2033,1.560562
2034,1.640305
2035,1.709422
2036,1.65751
2037,1.554452
2038,1.505231
2039,1.571301
2040,1.65905
2041,1.588951
2042,1.546124
2043,1.561847
2044,1.50782
2045,1.590793
2046,1.59539
2047,1.45443
2048,1.598424
2049,1.641078
2050,1.426776
2051,1.399024
2052,1.532528
2053,1.532999
2054,1.470734
2055,1.446902
2056,1.339719
2057,1.28273
2058,1.218008
2059,1.118995
2060,1.133975
2061,1.279514
2062,1.357747
2063,1.34145
2064,1.324951
2065,1.277958
2066,1.401921
2067,1.47374
2068,1.357614
2069,1.302357
2070,1.31873
2071,1.336565
2072,1.332448
2073,1.459645
2074,1.648833
2075,1.519213
2076,1.349506
2077,1.318853
2078,1.329445
2079,1.349285
2080,1.344405
2081,1.271569
2082,1.356185
2083,1.452934
2084,1.461878
2085,1.408536
2086,1.457989
2087,1.61866
2088,1.641412
2089,1.534367
2090,1.538298
2091,1.556811
2092,1.371595
2093,1.298593
2094,1.340075
2095,1.27402
2096,1.186755
2097,1.219567
2098,1.211688
