EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:58:41"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,KemptonsQ

Year,Value
1974,0.5981598
1975,0.5817071
1976,0.5739936
1977,0.566918
1978,0.5695558
1979,0.5730021
1980,0.5710037
1981,0.5698763
1982,0.5654415
1983,0.564075
1984,0.5695049
1985,0.5811665
1986,0.595679
1987,0.6146907
1988,0.6405066
1989,0.6472722
1990,0.6270563
1991,0.6365702
1992,0.6589963
1993,0.6571532
1994,0.6496432
1995,0.652219
1996,0.679024
1997,0.7333682
1998,0.7620839
1999,0.6845193
2000,0.6855578
2001,0.7373507
2002,0.7785358
2003,0.7412667
2004,0.7166872
2005,0.7700806
2006,0.8455282
2007,0.7898915
2008,0.7557905
2009,0.7515081
2010,0.7989984
2011,0.9565024
2012,0.9731697
2013,0.8160425
2014,0.8333187
2015,0.8839722
2016,0.9105759
2017,0.962682
2018,1.015034
2019,1.057728
2020,1.102255
2021,1.106182
2022,1.106037
2023,1.123146
2024,1.114358
2025,1.124958
2026,1.155808
2027,1.16784
2028,1.194235
2029,1.224298
2030,1.273182
2031,1.304605
2032,1.328313
2033,1.345496
2034,1.327518
2035,1.323034
2036,1.333651
2037,1.361856
2038,1.376028
2039,1.366771
2040,1.3673
2041,1.387514
2042,1.403556
2043,1.420811
2044,1.432
2045,1.407868
2046,1.443918
2047,1.406711
2048,1.421565
2049,1.440436
2050,1.442258
2051,1.464287
2052,1.470501
2053,1.437923
2054,1.429202
2055,1.461902
2056,1.476349
2057,1.531949
2058,1.576214
2059,1.591525
2060,1.615202
2061,1.608939
2062,1.547227
2063,1.514605
2064,1.511821
2065,1.537876
2066,1.52418
2067,1.467857
2068,1.462285
2069,1.512603
2070,1.534844
2071,1.522686
2072,1.507475
2073,1.479026
2074,1.412795
2075,1.381881
2076,1.422674
2077,1.471518
2078,1.475549
2079,1.483249
2080,1.515373
2081,1.549066
2082,1.550923
2083,1.54132
2084,1.549449
2085,1.572669
2086,1.592855
2087,1.540108
2088,1.504719
2089,1.489774
2090,1.492032
2091,1.503951
2092,1.521238
2093,1.513364
2094,1.548911
2095,1.563503
2096,1.573743
2097,1.580651
2098,1.579429
