EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:05:38"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,TotalCatch

TimeStep,Value
1,2.523435
2,2.606202
3,2.707489
4,2.815019
5,2.921972
6,3.025505
7,3.125016
8,3.220972
9,3.31422
10,3.405612
11,3.495783
12,3.585039
13,3.787043
14,3.865431
15,3.93562
16,3.998425
17,4.05354
18,4.10022
19,4.138829
20,4.169942
21,4.194283
22,4.212905
23,4.227186
24,4.238571
25,4.046031
26,4.099517
27,4.182473
28,4.282966
29,4.390433
30,4.497972
31,4.606644
32,4.71098
33,4.81091
34,4.907152
35,5.000482
36,5.0917
37,4.543046
38,4.612425
39,4.675372
40,4.734309
41,4.790151
42,4.842898
43,4.886906
44,4.925885
45,4.960033
46,4.989549
47,5.014744
48,5.036057
49,4.723318
50,4.715734
51,4.69846
52,4.675955
53,4.651335
54,4.626612
55,4.601899
56,4.58022
57,4.56162
58,4.54613
59,4.53374
60,4.524384
61,4.646185
62,4.62531
63,4.606521
64,4.590465
65,4.577297
66,4.566959
67,4.559027
68,4.551267
69,4.543502
70,4.535614
71,4.527705
72,4.519794
73,4.82549
74,4.82963
75,4.847901
76,4.874637
77,4.905712
78,4.938575
79,4.971195
80,5.003365
81,5.034798
82,5.065454
83,5.095354
84,5.124337
85,5.034745
86,5.087152
87,5.13621
88,5.182993
89,5.227854
90,5.270411
91,5.301473
92,5.327418
93,5.34696
94,5.358902
95,5.36244
96,5.357496
97,5.21337
98,5.219523
99,5.225469
100,5.231018
101,5.235931
102,5.239962
103,5.246487
104,5.254031
105,5.262691
106,5.272656
107,5.284115
108,5.297184
109,5.255897
110,5.256492
111,5.250714
112,5.242081
113,5.232501
114,5.222919
115,5.22485
116,5.230569
117,5.239338
118,5.250398
119,5.262938
120,5.276299
121,5.566454
122,5.564391
123,5.567043
124,5.572932
125,5.581104
126,5.590965
127,5.61229
128,5.632572
129,5.651845
130,5.670301
131,5.688311
132,5.706179
133,5.962792
134,5.862659
135,5.738671
136,5.599855
137,5.453361
138,5.304964
139,5.147829
140,4.997107
141,4.8555
142,4.724938
143,4.606782
144,4.502228
145,4.61116
146,4.575633
147,4.575327
148,4.596155
149,4.627475
150,4.662776
151,4.71211
152,4.757539
153,4.798592
154,4.835649
155,4.869719
156,4.901662
157,5.277894
158,5.178292
159,5.042365
160,4.88532
161,4.71723
162,4.544139
163,4.364719
164,4.185108
165,4.007115
166,3.832331
167,3.662226
168,3.498243
169,3.601536
170,3.48648
171,3.41797
172,3.375472
173,3.343873
174,3.315763
175,3.285824
176,3.255982
177,3.226056
178,3.196358
179,3.167392
180,3.139713
181,3.46258
182,3.436885
183,3.419811
184,3.40987
185,3.406167
186,3.408198
187,3.41826
188,3.434842
189,3.457169
190,3.484508
191,3.51569
192,3.550177
193,3.496142
194,3.552172
195,3.609848
196,3.666125
197,3.718786
198,3.766427
199,3.807264
200,3.841906
201,3.871202
202,3.89623
203,3.918134
204,3.937785
205,4.232072
206,4.169751
207,4.090754
208,4.00303
209,3.912411
210,3.823281
211,3.758694
212,3.701537
213,3.653009
214,3.613507
215,3.582727
216,3.56007
217,3.097799
218,3.152976
219,3.225185
220,3.305744
221,3.388731
222,3.470406
223,3.552901
224,3.629376
225,3.698913
226,3.761326
227,3.816789
228,3.865698
229,3.987489
230,4.005898
231,4.015717
232,4.018775
233,4.016577
234,4.010327
235,4.001502
236,3.991277
237,3.980484
238,3.969605
239,3.958817
240,3.948039
241,4.481284
242,4.45367
243,4.435821
244,4.424869
245,4.418246
246,4.413968
247,4.408702
248,4.403273
249,4.397421
250,4.39115
251,4.384579
252,4.377935
253,4.509087
254,4.547371
255,4.585436
256,4.623257
257,4.661036
258,4.698829
259,4.742607
260,4.784722
261,4.825183
262,4.86401
263,4.901203
264,4.936684
265,5.624648
266,5.525283
267,5.407814
268,5.28011
269,5.147606
270,5.014429
271,4.862515
272,4.717463
273,4.582095
274,4.458603
275,4.348089
276,4.251146
277,4.037885
278,3.992257
279,3.952321
280,3.916803
281,3.884923
282,3.855955
283,3.820585
284,3.785568
285,3.750577
286,3.715415
287,3.680127
288,3.644317
289,3.989126
290,4.004345
291,4.034303
292,4.070055
293,4.105949
294,4.139093
295,4.176058
296,4.209863
297,4.240786
298,4.269486
299,4.296929
300,4.324084
301,4.388107
302,4.45865
303,4.549787
304,4.652409
305,4.760242
306,4.869521
307,4.957594
308,5.044721
309,5.131052
310,5.216217
311,5.299346
312,5.379385
313,5.734535
314,5.669539
315,5.559647
316,5.422833
317,5.270108
318,5.108705
319,4.948714
320,4.793422
321,4.648369
322,4.517675
323,4.403204
324,4.304749
325,4.295241
326,4.242656
327,4.205145
328,4.179493
329,4.162683
330,4.152045
331,4.13585
332,4.121313
333,4.107249
334,4.093111
335,4.078543
336,4.063394
337,3.84573
338,3.833418
339,3.81971
340,3.805374
341,3.790799
342,3.776113
343,3.769159
344,3.762323
345,3.755138
346,3.747303
347,3.738686
348,3.729332
349,3.33897
350,3.376787
351,3.446368
352,3.535328
353,3.633742
354,3.734989
355,3.835957
356,3.933101
357,4.025143
358,4.111462
359,4.191786
360,4.265952
361,4.030441
362,4.034978
363,4.000032
364,3.940145
365,3.864547
366,3.779197
367,3.70036
368,3.620661
369,3.544296
370,3.474666
371,3.414322
372,3.364432
373,2.851421
374,2.826102
375,2.806591
376,2.793578
377,2.787005
378,2.78613
379,2.789171
380,2.795549
381,2.803758
382,2.812977
383,2.822414
384,2.831727
385,3.302625
386,3.293513
387,3.28513
388,3.27756
389,3.270935
390,3.265346
391,3.235288
392,3.207431
393,3.181484
394,3.157137
395,3.134119
396,3.112081
397,3.145783
398,3.153285
399,3.150983
400,3.142314
401,3.129756
402,3.114913
403,3.100951
404,3.086799
405,3.072826
406,3.059267
407,3.046191
408,3.033797
409,2.783408
410,2.83708
411,2.911426
412,2.995466
413,3.081187
414,3.163696
415,3.246651
416,3.323936
417,3.394845
418,3.459265
419,3.517311
420,3.569192
421,3.823599
422,3.853579
423,3.877678
424,3.896215
425,3.909497
426,3.917843
427,3.921854
428,3.923453
429,3.923891
430,3.924272
431,3.9256
432,3.928751
433,3.251733
434,3.179999
435,3.093375
436,2.999767
437,2.905503
438,2.815555
439,2.742117
440,2.679436
441,2.629234
442,2.592206
443,2.567884
444,2.55481
445,2.380262
446,2.34535
447,2.312676
448,2.282829
449,2.255743
450,2.231142
451,2.209003
452,2.188109
453,2.168135
454,2.148817
455,2.130193
456,2.112081
457,1.945497
458,1.972838
459,2.001254
460,2.025345
461,2.044201
462,2.058312
463,2.068864
464,2.075959
465,2.080208
466,2.082134
467,2.082131
468,2.080561
469,2.024219
470,2.06165
471,2.111835
472,2.167293
473,2.223142
474,2.27676
475,2.326032
476,2.373592
477,2.419355
478,2.462818
479,2.503295
480,2.540122
481,2.874015
482,2.903412
483,2.911595
484,2.906757
485,2.89374
486,2.875684
487,2.862922
488,2.851671
489,2.843148
490,2.837962
491,2.836393
492,2.838367
493,2.83725
494,2.829275
495,2.818393
496,2.806998
497,2.79661
498,2.787997
499,2.774726
500,2.763455
501,2.753932
502,2.745773
503,2.738569
504,2.731974
505,2.733791
506,2.74459
507,2.7599
508,2.776717
509,2.793182
510,2.808303
511,2.829062
512,2.848372
513,2.866081
514,2.882237
515,2.897072
516,2.910645
517,2.917088
518,2.924476
519,2.932138
520,2.939861
521,2.947532
522,2.955063
523,2.964001
524,2.972681
525,2.980999
526,2.988795
527,2.995888
528,3.002103
529,3.009532
530,3.013279
531,3.014879
532,3.015073
533,3.014241
534,3.012621
535,3.011169
536,3.009227
537,3.006945
538,3.004483
539,3.002016
540,2.999738
541,2.988707
542,2.971915
543,2.952206
544,2.931592
545,2.911291
546,2.891968
547,2.869827
548,2.849291
549,2.83036
550,2.812963
551,2.796893
552,2.781979
553,2.766101
554,2.751957
555,2.739112
556,2.727291
557,2.716321
558,2.706073
559,2.697327
560,2.688855
561,2.680568
562,2.672418
563,2.664456
564,2.656566
565,2.640245
566,2.615515
567,2.585995
568,2.554219
569,2.521779
570,2.489619
571,2.463243
572,2.437225
573,2.41153
574,2.386101
575,2.360918
576,2.336102
577,2.322797
578,2.320217
579,2.324057
580,2.330832
581,2.338476
582,2.345975
583,2.368061
584,2.387993
585,2.406113
586,2.42284
587,2.438591
588,2.453742
589,2.472593
590,2.493686
591,2.516155
592,2.539425
593,2.563138
594,2.587046
595,2.596272
596,2.606733
597,2.61811
598,2.630066
599,2.642222
600,2.654189
601,2.665287
602,2.677123
603,2.688796
604,2.699676
605,2.709413
606,2.717875
607,2.739588
608,2.759412
609,2.777802
610,2.795186
611,2.811943
612,2.828407
613,2.833773
614,2.82505
615,2.808253
616,2.787309
617,2.764711
618,2.741974
619,2.705841
620,2.672156
621,2.641135
622,2.612852
623,2.587207
624,2.564033
625,2.551454
626,2.547341
627,2.548755
628,2.553436
629,2.559915
630,2.567329
631,2.573834
632,2.580451
633,2.587019
634,2.593486
635,2.599873
636,2.606251
637,2.610538
638,2.614596
639,2.618755
640,2.623175
641,2.627897
642,2.632888
643,2.638406
644,2.644139
645,2.649874
646,2.655402
647,2.660488
648,2.664916
649,2.681524
650,2.708323
651,2.740491
652,2.774548
653,2.808365
654,2.84082
655,2.872161
656,2.901423
657,2.928696
658,2.954171
659,2.978089
660,3.000751
661,3.025525
662,3.048169
663,3.069552
664,3.090066
665,3.109918
666,3.129178
667,3.147741
668,3.166043
669,3.184159
670,3.202124
671,3.219923
672,3.237494
673,3.248823
674,3.261511
675,3.274227
676,3.286722
677,3.298908
678,3.310789
679,3.317143
680,3.324125
681,3.331865
682,3.340421
683,3.349744
684,3.359778
685,3.355664
686,3.339989
687,3.317811
688,3.292614
689,3.266653
690,3.241327
691,3.213718
692,3.187989
693,3.164319
694,3.142708
695,3.123054
696,3.105203
697,3.104915
698,3.119536
699,3.1428
700,3.170145
701,3.198656
702,3.226689
703,3.254128
704,3.27939
705,3.302355
706,3.323087
707,3.341714
708,3.35836
709,3.364361
710,3.36266
711,3.355835
712,3.345627
713,3.333097
714,3.318853
715,3.308983
716,3.297711
717,3.285237
718,3.271742
719,3.257482
720,3.242687
721,3.217135
722,3.183293
723,3.144807
724,3.104438
725,3.064107
726,3.025028
727,2.993008
728,2.962827
729,2.934732
730,2.908892
731,2.885331
732,2.863924
733,2.858016
734,2.864041
735,2.877034
736,2.893485
737,2.91129
738,2.929369
739,2.947726
740,2.965479
741,2.982637
742,2.999277
743,3.015499
744,3.031377
745,3.030351
746,3.012569
747,2.984459
748,2.950103
749,2.91187
750,2.871117
751,2.826397
752,2.781112
753,2.735957
754,2.691609
755,2.648661
756,2.607634
757,2.575527
758,2.552131
759,2.534832
760,2.521665
761,2.511312
762,2.502979
763,2.497159
764,2.492566
765,2.48911
766,2.486798
767,2.485691
768,2.485837
769,2.498991
770,2.523692
771,2.555662
772,2.591613
773,2.629571
774,2.668467
775,2.702094
776,2.736543
777,2.771648
778,2.807205
779,2.842812
780,2.878005
781,2.911158
782,2.943209
783,2.973366
784,3.001003
785,3.025659
786,3.047057
787,3.071018
788,3.091883
789,3.109994
790,3.125706
791,3.139391
792,3.151417
793,3.163573
794,3.164033
795,3.158827
796,3.150969
797,3.142365
798,3.134092
799,3.131791
800,3.130715
801,3.131037
802,3.132729
803,3.13562
804,3.139467
805,3.168067
806,3.216592
807,3.275469
808,3.338156
809,3.40094
810,3.462056
811,3.516583
812,3.569529
813,3.621111
814,3.671548
815,3.72088
816,3.769103
817,3.79423
818,3.801721
819,3.797683
820,3.785906
821,3.768526
822,3.746762
823,3.720073
824,3.691444
825,3.661942
826,3.632564
827,3.60411
828,3.577147
829,3.550287
830,3.519083
831,3.486689
832,3.454896
833,3.424858
834,3.39721
835,3.374555
836,3.354155
837,3.335987
838,3.319966
839,3.305988
840,3.293997
841,3.286534
842,3.285284
843,3.2882
844,3.293816
845,3.301153
846,3.309603
847,3.308728
848,3.308922
849,3.309994
850,3.311782
851,3.313998
852,3.316355
853,3.314188
854,3.30672
855,3.295813
856,3.282647
857,3.267916
858,3.252032
859,3.243711
860,3.233977
861,3.223011
862,3.211037
863,3.198359
864,3.185449
865,3.1952
866,3.222319
867,3.259717
868,3.301989
869,3.345828
870,3.389602
871,3.420007
872,3.450193
873,3.48033
874,3.510631
875,3.541182
876,3.571977
877,3.576835
878,3.558179
879,3.525393
880,3.484146
881,3.437762
882,3.388268
883,3.346051
884,3.302861
885,3.2599
886,3.218232
887,3.178782
888,3.142165
889,3.124631
890,3.124402
891,3.134745
892,3.15055
893,3.168552
894,3.186914
895,3.20641
896,3.224244
897,3.240464
898,3.255378
899,3.269511
900,3.283153
901,3.293515
902,3.30183
903,3.309076
904,3.31585
905,3.322415
906,3.328808
907,3.332453
908,3.335722
909,3.338372
910,3.340152
911,3.34085
912,3.340243
913,3.329394
914,3.306636
915,3.276438
916,3.241714
917,3.204467
918,3.166085
919,3.145311
920,3.122541
921,3.098645
922,3.074525
923,3.051523
924,3.03001
925,3.010783
926,2.995272
927,2.982718
928,2.972624
929,2.964681
930,2.958674
931,2.940681
932,2.925279
933,2.912202
934,2.901224
935,2.892123
936,2.884692
937,2.892912
938,2.91321
939,2.940735
