EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:05:38"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,TotalCatch

Year,Value
1974,3.062189
1975,4.076833
1976,4.552271
1977,4.834281
1978,4.619951
1979,4.570804
1980,4.959704
1981,5.249504
1982,5.248537
1983,5.245416
1984,5.617032
1985,5.229723
1986,4.710316
1987,4.432915
1988,3.317702
1989,3.450347
1990,3.756835
1991,3.841737
1992,3.497153
1993,3.992042
1994,4.41591
1995,4.723285
1996,4.934984
1997,3.836394
1998,4.155006
1999,4.892252
2000,5.031792
2001,4.15306
2002,3.78109
2003,3.785799
2004,3.730673
2005,2.808869
2006,3.226887
2007,3.103072
2008,3.190289
2009,3.902186
2010,2.834302
2011,2.230362
2012,2.043108
2013,2.290843
2014,2.869639
2015,2.782079
2016,2.820829
2017,2.960052
2018,3.009434
2019,2.882416
2020,2.705587
2021,2.483541
2022,2.371641
2023,2.576637
2024,2.739209
2025,2.712024
2026,2.572429
2027,2.636756
2028,2.849113
2029,3.135824
2030,3.308671
2031,3.229254
2032,3.235148
2033,3.312022
2034,3.02396
2035,2.939603
2036,2.837653
2037,2.5113
2038,2.683859
2039,3.049238
2040,3.142935
2041,3.477503
2042,3.715176
2043,3.401473
2044,3.302864
2045,3.251238
2046,3.390748
2047,3.368214
2048,3.197413
2049,3.324941
2050,3.170607
2051,2.94508
2052,3.05508
2053,3.203642
2054,3.087958
2055,3.392529
2056,3.92909
2057,3.851896
2058,3.53308
2059,3.410156
2060,3.47007
2061,3.417585
2062,3.408735
2063,3.451912
2064,3.406502
2065,3.617791
2066,4.090758
2067,4.049415
2068,3.632313
2069,3.605117
2070,3.708464
2071,3.714827
2072,3.779711
2073,3.757301
2074,3.762959
2075,4.086235
2076,4.058064
2077,3.970711
2078,4.165798
2079,3.998622
2080,3.79005
2081,4.068854
2082,4.162269
2083,4.184194
2084,4.284368
2085,4.387594
2086,4.445486
2087,4.354383
2088,4.485758
2089,4.830626
2090,4.975581
2091,5.460623
2092,5.373245
2093,4.848941
2094,4.650907
2095,4.36612
2096,4.049937
2097,4.064437
2098,4.141713
