EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:59:02"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,FIB

Year,Value
1974,0.01425052
1975,0.140598
1976,0.1826264
1977,0.2511439
1978,0.2122734
1979,0.2475576
1980,0.2912392
1981,0.304942
1982,0.3014962
1983,0.3545106
1984,0.4348274
1985,0.3284347
1986,0.2791098
1987,0.2291059
1988,0.0401744
1989,0.08139393
1990,0.08204601
1991,0.07112595
1992,0.1193844
1993,0.276913
1994,0.2500225
1995,0.2358243
1996,0.220899
1997,0.1161531
1998,0.2022718
1999,0.2301843
2000,0.2030844
2001,0.1446997
2002,0.1543811
2003,0.1527147
2004,0.1270267
2005,0.03436461
2006,0.06459262
2007,0.06244926
2008,0.09241616
2009,0.1478792
2010,0.0001243072
2011,-0.0593901
2012,-0.07943832
2013,-0.05905672
2014,-0.01113402
2015,-0.01788747
2016,-0.01383285
2017,-0.01324084
2018,-0.01895846
2019,-0.02804199
2020,-0.04279163
2021,-0.06676402
2022,-0.07703928
2023,-0.06026909
2024,-0.05042803
2025,-0.03903353
2026,-0.04290279
2027,-0.03535424
2028,-0.02786386
2029,-0.0006997483
2030,0.02378654
2031,0.02814525
2032,0.0402245
2033,0.03747279
2034,-0.0127031
2035,-0.01490873
2036,-0.02861781
2037,-0.06391504
2038,-0.03910043
2039,-0.01443472
2040,-0.008497283
2041,0.05211359
2042,0.07299712
2043,0.02795192
2044,0.03254089
2045,0.01619045
2046,0.02589384
2047,0.0266211
2048,0.01137257
2049,0.02975298
2050,-0.003259287
2051,-0.01898112
2052,-0.004563171
2053,0.001651756
2054,-0.01033825
2055,0.03779146
2056,0.09004708
2057,0.07783509
2058,0.05849044
2059,0.04640171
2060,0.0399439
2061,0.02725209
2062,0.02670234
2063,0.03464929
2064,0.03198432
2065,0.05897648
2066,0.1079538
2067,0.108155
2068,0.07562632
2069,0.07387778
2070,0.05910327
2071,0.05573943
2072,0.07928314
2073,0.08055888
2074,0.08377355
2075,0.122505
2076,0.1066034
2077,0.1021475
2078,0.1280716
2079,0.1024474
2080,0.08155857
2081,0.1121444
2082,0.1129445
2083,0.1296645
2084,0.1412348
2085,0.1467661
2086,0.1616505
2087,0.1522555
2088,0.1701936
2089,0.2141112
2090,0.2354804
2091,0.298479
2092,0.2934206
2093,0.236613
2094,0.2113414
2095,0.1576637
2096,0.1272527
2097,0.1195859
2098,0.1276819
