EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:34:59"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,TotalCatch

Year,Value
1974,3.062188
1975,4.076833
1976,4.552271
1977,4.834281
1978,4.619951
1979,4.570804
1980,4.959704
1981,5.249505
1982,5.248537
1983,5.245416
1984,5.617033
1985,5.229723
1986,4.710316
1987,4.432915
1988,3.317702
1989,3.450347
1990,3.756835
1991,3.841737
1992,3.497153
1993,3.992042
1994,4.415909
1995,4.723285
1996,4.934984
1997,3.836395
1998,4.155007
1999,4.892252
2000,5.031792
2001,4.153061
2002,3.78109
2003,3.785799
2004,3.730674
2005,2.808869
2006,3.226887
2007,3.103072
2008,3.190288
2009,3.902186
2010,2.834302
2011,2.230362
2012,2.043108
2013,2.290843
2014,3.377875
2015,3.191535
2016,3.152603
2017,3.22949
2018,3.387779
2019,2.952993
2020,2.672525
2021,2.774045
2022,2.93797
2023,3.057997
2024,3.353899
2025,3.277185
2026,3.048913
2027,2.857466
2028,2.797156
2029,3.017943
2030,3.026489
2031,3.111552
2032,3.795441
2033,3.926442
2034,3.644263
2035,3.724122
2036,3.256381
2037,3.709169
2038,3.825953
2039,4.076951
2040,4.53004
2041,4.097406
2042,4.120186
2043,4.462772
2044,4.238329
2045,4.428005
2046,4.525465
2047,4.695411
2048,4.993149
2049,4.98166
2050,4.892768
2051,4.371549
2052,4.391171
2053,4.317568
2054,4.584054
2055,5.241267
2056,4.894262
2057,5.627647
2058,5.488253
2059,4.963991
2060,4.956546
2061,5.292756
2062,5.179237
2063,5.022107
2064,5.097411
2065,4.879619
2066,5.515153
2067,4.931521
2068,5.284424
2069,4.904228
2070,4.882903
2071,5.248988
2072,4.978199
2073,5.139482
2074,5.189504
2075,5.768203
2076,5.893938
2077,5.787436
2078,6.563444
2079,5.636176
2080,5.556938
2081,5.926511
2082,6.262158
2083,6.454755
2084,6.322378
2085,6.479836
2086,5.956366
2087,6.771278
2088,5.670151
2089,6.385593
2090,6.722817
2091,6.98668
2092,7.322421
2093,6.249286
2094,6.985269
2095,5.429856
2096,5.859751
2097,6.293137
2098,5.407015
