EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:34:59"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,Value

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,0,0,0,0,0,0,0,0,0,0,0.07594081,0.5808689,0.6301408,0.8602853,0,0,0.1242961,0.2519004,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0.08123859,0.6065406,0.6577716,0.8767206,0,0,0.1263767,0.2575506,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0.08654328,0.6385134,0.6907693,0.8990782,0,0,0.1288471,0.2637343,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0.09076355,0.6728709,0.7237617,0.92581,0,0,0.1314756,0.270335,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0.09386014,0.7065321,0.754923,0.9552981,0,0,0.1341092,0.2772471,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0.09625531,0.7375172,0.7845349,0.9861146,0,0,0.136675,0.2844053,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0.09846913,0.7647604,0.8137587,1.017089,0,0,0.1391518,0.2917847,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0.1009584,0.7878219,0.843959,1.047296,0,0,0.1415439,0.2993906,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0.1040615,0.8066453,0.8763855,1.076012,0,0,0.1438662,0.3072472,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0.1079879,0.821386,0.9120255,1.102682,0,0,0.1461375,0.3153902,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0.1128226,0.832304,0.9515322,1.126883,0,0,0.1483776,0.3238613,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0.1185376,0.8397033,0.9951826,1.148301,0,0,0.150607,0.3327056,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0.08032587,0.8569787,1.100723,1.217933,0,0,0.205632,0.3254488,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.08455997,0.8563411,1.1505,1.23156,0,0,0.2074167,0.3350496,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0.08877915,0.8519062,1.199958,1.240859,0,0,0.2091895,0.3449259,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0.0930147,0.8447132,1.248353,1.246214,0,0,0.2110157,0.3551122,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0.09716606,0.835576,1.294169,1.248052,0,0,0.2129431,0.3656327,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0.1010763,0.8252031,1.335595,1.246863,0,0,0.2149966,0.3764835,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0.1042715,0.8155574,1.370925,1.2432,0,0,0.2172453,0.3876278,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0.1064036,0.8082927,1.398892,1.237671,0,0,0.2196936,0.3989884,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0.1073694,0.8043396,1.41886,1.230933,0,0,0.2223283,0.4104519,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0.1072518,0.8041054,1.430855,1.223682,0,0,0.2251287,0.4218802,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0.106246,0.807647,1.435465,1.216627,0,0,0.2280739,0.4331253,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0.104604,0.8146953,1.433613,1.210465,0,0,0.2311489,0.4440435,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0.07273284,0.9430196,1.125019,1.167189,0,0,0.148979,0.5890902,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0.0729012,0.967605,1.137821,1.172961,0,0,0.1526646,0.5955621,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0.07363209,1.003636,1.159177,1.186649,0,0,0.1570003,0.6023759,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0.07404641,1.047536,1.182553,1.207839,0,0,0.1617546,0.6092356,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0.07362575,1.094961,1.20351,1.235524,0,0,0.1667983,0.6160116,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0.07230077,1.142133,1.220327,1.26853,0,0,0.1720432,0.622638,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0.06943228,1.191986,1.232097,1.307459,0,0,0.1765529,0.6291152,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0.06635185,1.236138,1.239791,1.352163,0,0,0.1810465,0.6354882,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.063352,1.273467,1.24452,1.402116,0,0,0.1855416,0.6419112,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0.06065489,1.303604,1.247314,1.456958,0,0,0.1900471,0.6485721,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0.05843175,1.326479,1.24923,1.516111,0,0,0.1945588,0.6556702,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0.05677626,1.342395,1.251274,1.578784,0,0,0.1990694,0.6633993,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0.1275828,0.8519163,1.251875,1.601051,0,0,0.1349229,0.5756971,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0.1249227,0.8520604,1.248045,1.660916,0,0,0.1383505,0.5881289,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0.1235277,0.8468123,1.243623,1.718284,0,0,0.141653,0.6014705,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0.123589,0.8376401,1.239866,1.772521,0,0,0.1448513,0.6158405,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0.1249788,0.8257804,1.237093,1.823024,0,0,0.1479598,0.6313128,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0.1274684,0.8121556,1.235073,1.869289,0,0,0.1509831,0.6479269,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0.1318139,0.7956088,1.244885,1.893448,0,0,0.155053,0.6660954,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0.1362216,0.779214,1.253026,1.912382,0,0,0.1590611,0.6859788,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0.1402967,0.7637891,1.259145,1.926339,0,0,0.162936,0.7075271,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0.1437611,0.7498626,1.262965,1.935744,0,0,0.1666457,0.7305694,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0.1464364,0.737768,1.264351,1.94115,0,0,0.1702138,0.7548236,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0.1481921,0.7277483,1.263277,1.943226,0,0,0.1736718,0.7799397,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0.08808641,0.7698827,1.341271,1.731013,0,0,0.2084029,0.5846605,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0.08718064,0.758857,1.323673,1.72541,0,0,0.2119257,0.6086875,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0.08555924,0.7484056,1.30099,1.716177,0,0,0.2153672,0.6319587,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0.08351202,0.7391515,1.275583,1.704597,0,0,0.2187855,0.6543256,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0.08120567,0.7314414,1.248957,1.691843,0,0,0.2222031,0.6756845,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0.07873859,0.7253557,1.222015,1.678903,0,0,0.2256127,0.6959864,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0.07581899,0.7219353,1.186269,1.677889,0,0,0.2316027,0.7083829,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0.07292576,0.7195079,1.151962,1.678444,0,0,0.2375379,0.7198423,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0.07009481,0.7176639,1.11862,1.681319,0,0,0.2434205,0.7305019,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0.06735691,0.7160899,1.08604,1.6869,0,0,0.2492356,0.7405066,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0.06473971,0.7145354,1.054208,1.695297,0,0,0.2549811,0.7499767,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0.06228548,0.7127432,1.023268,1.706397,0,0,0.2606321,0.7590583,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0.0788378,0.6135601,0.7846065,2.022415,0,0,0.3378021,0.8089628,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0.0750429,0.6061604,0.7562372,2.028626,0,0,0.3433928,0.8158505,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0.0719131,0.5981081,0.7297049,2.035573,0,0,0.3488212,0.8224,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0.06938966,0.5898108,0.7051302,2.043308,0,0,0.3540991,0.8287265,0,0,0,0
