EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:36"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,Biomass

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,3.115465,10.53687,3.009107,2.010988,1.476624,3.640804,4.197701,2.568679,4.697534,27.48914,1.464772,4.253521,5.296013,5.617922,0.0001935781,0.1079278,0.6128695,0.5293518,3.95E-07,0.0014575,3258.618,4659.947
2,3.106002,11.91291,3.2684,2.305215,1.600376,3.928886,4.96908,2.785759,4.711457,27.58996,1.566957,4.441507,5.528236,5.725249,0.0002101473,0.1090867,0.6231283,0.5412253,3.95E-07,0.0014575,3263.619,4678.561
3,3.095552,12.62648,3.486964,2.522445,1.687588,4.210922,5.612008,3.072608,4.731629,27.6949,1.669276,4.675633,5.805565,5.871251,0.0002247083,0.1108762,0.6353093,0.55422,3.95E-07,0.0014575,3269.664,4702.883
4,3.086004,12.96784,3.647447,2.668673,1.747826,4.452536,6.051306,3.397073,4.758583,27.8085,1.750678,4.927223,6.082849,6.045818,0.0002329678,0.1131275,0.64827,0.5680907,3.95E-07,0.0014575,3276.14,4730.273
5,3.078157,13.11464,3.756671,2.757261,1.786011,4.640139,6.319285,3.729002,4.791878,27.93235,1.810406,5.173713,6.344744,6.238384,0.0002361551,0.1156484,0.6612555,0.5826162,3.95E-07,0.0014575,3282.713,4759.156
6,3.07214,13.16624,3.827724,2.800437,1.805725,4.771223,6.467667,4.042745,4.830665,28.06632,1.856605,5.400608,6.593617,6.439625,0.0002357587,0.118278,0.6739067,0.5976586,3.95E-07,0.0014575,3289.213,4788.635
7,3.067774,13.17522,3.873044,2.808825,1.810499,4.849343,6.538936,4.318524,4.873988,28.20934,1.899306,5.600101,6.839228,6.6419,0.000233286,0.120909,0.6861189,0.6131659,3.95E-07,0.0014575,3295.559,4818.221
8,3.064779,13.16807,3.90232,2.790958,1.803555,4.880654,6.562035,4.54242,4.920928,28.35996,1.947319,5.768973,7.093046,6.839157,0.0002299908,0.1234887,0.6979139,0.6291491,3.95E-07,0.0014575,3301.719,4847.659
9,3.062877,13.15732,3.922379,2.753222,1.787515,4.871854,6.554994,4.705603,4.970673,28.51658,2.007174,5.906811,7.365574,7.026683,0.0002267339,0.1260089,0.7093647,0.6456594,3.95E-07,0.0014575,3307.683,4876.824
10,3.061826,13.14837,3.937723,2.700241,1.764406,4.829214,6.528471,4.803375,5.02253,28.67769,2.082907,6.014752,7.665111,7.200848,0.0002240214,0.1284911,0.7205634,0.6627713,3.95E-07,0.0014575,3313.448,4905.661
11,3.061436,13.14313,3.95118,2.635424,1.735806,4.758305,6.488579,4.834353,5.075926,28.84187,2.176161,6.094701,7.997144,7.358885,0.0002220758,0.1309733,0.7316087,0.6805728,3.95E-07,0.0014575,3319.016,4934.148
