EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:35:05"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,KemptonsQ

Year,Value
1974,0.5981598
1975,0.5817071
1976,0.5739936
1977,0.566918
1978,0.5695558
1979,0.5730021
1980,0.5710037
1981,0.5698763
1982,0.5654415
1983,0.564075
1984,0.5695049
1985,0.5811665
1986,0.595679
1987,0.6146907
1988,0.6405066
1989,0.6472722
1990,0.6270563
1991,0.6365702
1992,0.6589963
1993,0.6571532
1994,0.6496432
1995,0.652219
1996,0.679024
1997,0.7333682
1998,0.7620839
1999,0.6845193
2000,0.6855578
2001,0.7373507
2002,0.7785358
2003,0.7412667
2004,0.7166872
2005,0.7700806
2006,0.8455282
2007,0.7898915
2008,0.7557905
2009,0.7515081
2010,0.7989984
2011,0.9565024
2012,0.9731697
2013,0.8160425
2014,0.831876
2015,0.8928854
2016,0.8921385
2017,0.9009027
2018,0.9448693
2019,0.9408879
2020,0.9195672
2021,0.9071319
2022,0.8909426
2023,0.8829925
2024,0.8606612
2025,0.8593048
2026,0.8697541
2027,0.8617391
2028,0.8640439
2029,0.8710782
2030,0.8845639
2031,0.8920484
2032,0.8807731
2033,0.8834926
2034,0.8746657
2035,0.8729889
2036,0.8849156
2037,0.8981729
2038,0.9071646
2039,0.896678
2040,0.8957732
2041,0.9136074
2042,0.9113206
2043,0.9097681
2044,0.9178672
2045,0.8982081
2046,0.9186287
2047,0.9315279
2048,0.9084535
2049,0.9227116
2050,0.9410031
2051,0.9287172
2052,0.9064274
2053,0.9203312
2054,0.9206632
2055,0.9483234
2056,0.9738061
2057,0.9770376
2058,0.9818757
2059,0.9909089
2060,0.983048
2061,0.958014
2062,0.9535627
2063,0.9502034
2064,0.9668596
2065,0.9726881
2066,0.9416628
2067,0.9455131
2068,0.9545569
2069,0.9711885
2070,0.9670608
2071,0.9638004
2072,0.9610032
2073,0.9349267
2074,0.9313053
2075,0.9508325
2076,0.9716785
2077,0.9880896
2078,0.985367
2079,0.9726762
2080,0.9895468
2081,0.9850817
2082,0.9647515
2083,0.9482498
2084,0.9439128
2085,0.9472942
2086,0.9297823
2087,0.9087651
2088,0.9072706
2089,0.9178837
2090,0.9126377
2091,0.9167724
2092,0.9474035
2093,0.9514834
2094,0.9479744
2095,0.9662712
2096,0.9657444
2097,0.95159
2098,0.9545522
