EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:35:05"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,TLC

Year,Value
1974,3.369972
1975,3.386581
1976,3.409409
1977,3.4155
1978,3.431331
1979,3.47511
1980,3.526844
1981,3.52274
1982,3.55748
1983,3.556579
1984,3.568333
1985,3.547599
1986,3.54265
1987,3.543287
1988,3.511519
1989,3.491552
1990,3.474976
1991,3.514651
1992,3.410787
1993,3.393248
1994,3.42821
1995,3.442651
1996,3.51026
1997,3.443699
1998,3.404574
1999,3.427565
2000,3.426039
2001,3.393649
2002,3.356032
2003,3.353102
2004,3.362199
2005,3.345758
2006,3.373719
2007,3.335282
2008,3.316277
2009,3.339391
2010,3.401488
2011,3.39604
2012,3.403322
2013,3.362772
2014,3.534289
2015,3.463025
2016,3.423486
2017,3.452167
2018,3.430434
2019,3.396385
2020,3.39196
2021,3.370054
2022,3.360806
2023,3.350804
2024,3.340287
2025,3.341887
2026,3.326146
2027,3.327413
2028,3.347499
2029,3.359619
2030,3.373248
2031,3.361427
2032,3.35593
2033,3.367037
2034,3.372952
2035,3.376498
2036,3.368233
2037,3.372219
2038,3.393205
2039,3.415548
2040,3.44433
2041,3.447707
2042,3.431624
2043,3.423816
2044,3.399862
2045,3.38396
2046,3.415758
2047,3.409453
2048,3.432135
2049,3.46568
2050,3.451908
2051,3.435686
2052,3.440395
2053,3.444373
2054,3.439956
2055,3.477724
2056,3.484637
2057,3.473637
2058,3.456441
2059,3.445606
2060,3.444616
2061,3.455739
2062,3.462484
2063,3.452919
2064,3.470542
2065,3.463068
2066,3.463551
2067,3.483329
2068,3.482223
2069,3.476092
2070,3.471495
2071,3.467892
2072,3.468718
2073,3.464725
2074,3.504929
2075,3.524227
2076,3.501239
2077,3.497098
2078,3.498275
2079,3.485399
2080,3.489079
2081,3.461194
2082,3.460654
2083,3.457793
2084,3.450741
2085,3.434669
2086,3.417082
2087,3.414056
2088,3.402432
2089,3.388057
2090,3.372461
2091,3.38083
2092,3.390211
2093,3.397869
2094,3.422666
2095,3.437695
2096,3.420038
2097,3.414601
2098,3.405748
