EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:42"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,FIB

TimeStep,Value
1,-0.04486182
2,-0.03693344
3,-0.02672846
4,-0.01530399
5,-0.003404852
6,0.008533798
7,0.02029495
8,0.0317971
9,0.04303716
10,0.05405301
11,0.06489857
12,0.07562377
13,0.1047369
14,0.1147236
15,0.1237077
16,0.1317877
17,0.1388917
18,0.1448591
19,0.1496308
20,0.1531714
21,0.1554912
22,0.1566892
23,0.1569558
24,0.1565308
25,0.1170105
26,0.1230714
27,0.1331491
28,0.1457702
29,0.1595805
30,0.1736626
31,0.188364
32,0.2027375
33,0.2167276
34,0.2304051
35,0.2438579
36,0.2571805
37,0.2044258
38,0.2162528
39,0.2272042
40,0.2375069
41,0.2471969
42,0.2562076
43,0.2620382
44,0.2667912
45,0.27054
46,0.2733744
47,0.2754081
48,0.2767813
49,0.2352794
50,0.2319868
51,0.2272987
52,0.2219414
53,0.2164147
54,0.2110458
55,0.2067946
56,0.2032468
57,0.2004654
58,0.1984902
59,0.197334
60,0.1969835
61,0.2467465
62,0.2468008
63,0.247088
64,0.2477189
65,0.2487144
66,0.2500663
67,0.2494016
68,0.2487169
69,0.2479416
70,0.2470111
71,0.245902
72,0.2445832
73,0.2794647
74,0.2799138
75,0.2819763
76,0.2848312
77,0.2879106
78,0.290831
79,0.2938182
80,0.2962791
81,0.2981863
82,0.2995996
83,0.3006388
84,0.3014211
85,0.2926752
86,0.2947903
87,0.296915
88,0.2991989
89,0.3017545
90,0.3046333
91,0.306316
92,0.3082991
93,0.3104744
94,0.3126954
95,0.3148157
96,0.3167372
97,0.2821232
98,0.2871926
99,0.2923873
100,0.2974898
101,0.3023186
102,0.3067307
103,0.3076697
104,0.3082172
105,0.3084468
106,0.3084735
107,0.3084345
108,0.3084712
109,0.3534535
110,0.3535809
111,0.3529192
112,0.352039
113,0.3511618
114,0.3503733
115,0.3502714
116,0.3515825
117,0.3540821
118,0.3574839
119,0.3614565
120,0.3657234
121,0.4333249
122,0.4306076
123,0.4290965
124,0.4284109
125,0.4283211
126,0.4286806
127,0.4323862
128,0.4357378
129,0.438778
130,0.4415711
131,0.4442143
132,0.4467994
133,0.4154466
134,0.4061552
135,0.3926753
136,0.3769304
137,0.3601676
138,0.3432359
139,0.321433
140,0.3006269
141,0.2811445
142,0.2632513
143,0.2471435
144,0.2330055
145,0.2756666
146,0.2642198
147,0.2585614
148,0.257316
149,0.259216
