EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:45:08"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,TotalCatch

Year,Value
1974,3.062189
1975,4.076833
1976,4.552271
1977,4.834281
1978,4.619951
1979,4.570804
1980,4.959704
1981,5.249504
1982,5.248537
1983,5.245416
1984,5.617032
1985,5.229723
1986,4.710316
1987,4.432915
1988,3.317702
1989,3.450347
1990,3.756835
1991,3.841737
1992,3.497153
1993,3.992042
1994,4.41591
1995,4.723285
1996,4.934984
1997,3.836394
1998,4.155006
1999,4.892252
2000,5.031792
2001,4.15306
2002,3.78109
2003,3.785799
2004,3.730673
2005,2.808869
2006,3.226887
2007,3.103072
2008,3.190289
2009,3.902186
2010,2.834302
2011,2.230362
2012,2.043108
2013,2.290843
2014,3.606377
2015,3.322048
2016,3.379718
2017,3.632241
2018,3.667626
2019,3.48049
2020,3.317789
2021,3.166154
2022,3.198498
2023,3.540262
2024,3.539107
2025,3.359226
2026,3.183199
2027,3.284571
2028,3.513088
2029,3.823262
2030,3.830451
2031,3.6417
2032,3.723737
2033,3.858332
2034,3.561032
2035,3.683897
2036,3.441271
2037,2.995399
2038,3.38428
2039,3.576154
2040,3.687141
2041,4.248762
2042,4.289097
2043,3.9624
2044,4.113003
2045,3.911505
2046,4.086915
2047,3.90632
2048,3.674217
2049,4.059612
2050,3.737348
2051,3.602062
2052,3.839394
2053,3.793582
2054,3.741585
2055,4.334896
2056,4.630482
2057,4.346376
2058,4.190899
2059,4.193093
2060,4.355811
2061,4.241184
2062,4.29072
2063,4.25639
2064,4.193876
2065,4.576972
2066,5.009135
2067,4.778747
2068,4.393545
2069,4.489992
2070,4.590133
2071,4.668914
2072,4.715934
2073,4.481095
2074,4.40472
2075,4.754377
2076,4.606177
2077,4.783106
2078,5.121244
2079,4.60602
2080,4.599245
2081,4.908435
2082,4.696978
2083,4.957812
2084,5.065798
2085,5.229351
2086,5.469128
2087,5.318074
2088,5.586148
2089,5.876525
2090,5.789821
2091,6.545884
2092,6.165983
2093,5.813146
2094,5.600081
2095,5.039518
2096,4.980641
2097,5.064321
2098,5.056901
