EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:35:34"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,Value

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,0,0,0,0,0,0,0,0,0,0,0.07594091,0.5808693,0.6301411,0.8602855,0,0,0.1242961,0.2519004,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0.08123868,0.6065409,0.6577719,0.8767207,0,0,0.1263766,0.2575506,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0.08654334,0.6385137,0.6907695,0.8990783,0,0,0.1288471,0.2637343,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0.09076359,0.6728712,0.7237617,0.92581,0,0,0.1314756,0.270335,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0.09386016,0.7065324,0.754923,0.9552982,0,0,0.1341092,0.2772471,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0.09625532,0.7375175,0.784535,0.9861146,0,0,0.136675,0.2844053,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0.09846915,0.7647606,0.8137587,1.017089,0,0,0.1391518,0.2917847,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0.1009584,0.7878221,0.843959,1.047296,0,0,0.1415439,0.2993906,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0.1040616,0.8066455,0.8763855,1.076012,0,0,0.1438662,0.3072472,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0.107988,0.8213862,0.9120256,1.102682,0,0,0.1461375,0.3153902,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0.1128227,0.8323041,0.9515322,1.126883,0,0,0.1483776,0.3238614,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0.1185376,0.8397035,0.9951826,1.1483,0,0,0.150607,0.3327057,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0.08032592,0.8569788,1.100723,1.217932,0,0,0.205632,0.3254488,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.08456002,0.8563412,1.1505,1.23156,0,0,0.2074167,0.3350496,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0.0887792,0.8519064,1.199958,1.240859,0,0,0.2091895,0.3449259,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0.09301476,0.8447133,1.248353,1.246214,0,0,0.2110156,0.3551122,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0.09716612,0.8355761,1.294169,1.248051,0,0,0.212943,0.3656327,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0.1010763,0.8252031,1.335595,1.246863,0,0,0.2149966,0.3764835,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0.1042716,0.8155574,1.370924,1.2432,0,0,0.2172453,0.3876278,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0.1064036,0.8082928,1.398891,1.237671,0,0,0.2196935,0.3989884,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0.1073695,0.8043396,1.41886,1.230933,0,0,0.2223282,0.4104519,0,0,0,0
