EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:01:02"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,FIB

Year,Value
1974,0.01425052
1975,0.140598
1976,0.1826264
1977,0.2511439
1978,0.2122734
1979,0.2475576
1980,0.2912392
1981,0.304942
1982,0.3014962
1983,0.3545106
1984,0.4348274
1985,0.3284347
1986,0.2791098
1987,0.2291059
1988,0.0401744
1989,0.08139393
1990,0.08204601
1991,0.07112595
1992,0.1193844
1993,0.276913
1994,0.2500225
1995,0.2358243
1996,0.220899
1997,0.1161531
1998,0.2022718
1999,0.2301843
2000,0.2030844
2001,0.1446997
2002,0.1543811
2003,0.1527147
2004,0.1270267
2005,0.03436461
2006,0.06459262
2007,0.06244926
2008,0.09241616
2009,0.1478792
2010,0.0001243072
2011,-0.0593901
2012,-0.07943832
2013,-0.05905672
2014,-0.009762391
2015,0.04664456
2016,0.02525106
2017,0.04077053
2018,0.04597205
2019,0.04166588
2020,0.02959223
2021,0.006556178
2022,0.003950574
2023,0.02395266
2024,0.01534375
2025,0.01380734
2026,0.01259448
2027,0.02087874
2028,0.03679726
2029,0.07560622
2030,0.08511305
2031,0.09056774
2032,0.1152989
2033,0.1130643
2034,0.05887211
2035,0.08282275
2036,0.04012863
2037,-0.001531924
2038,0.04360048
2039,0.03521009
2040,0.05639787
2041,0.1356683
2042,0.1251187
2043,0.1029909
2044,0.1393907
2045,0.09081262
2046,0.1191136
2047,0.1022202
2048,0.07856639
2049,0.1149417
2050,0.04401178
2051,0.04693444
2052,0.07370768
2053,0.05364481
2054,0.06308851
2055,0.1354275
2056,0.1452743
2057,0.1368693
2058,0.1551727
2059,0.144001
2060,0.1425873
2061,0.1167009
2062,0.1319621
2063,0.1161696
2064,0.1095821
2065,0.1561937
2066,0.1877881
2067,0.1705767
2068,0.1619494
2069,0.1717109
2070,0.1497693
2071,0.1547937
2072,0.1715382
2073,0.1509943
2074,0.1647486
2075,0.2083543
2076,0.1776152
2077,0.2077422
2078,0.2365491
2079,0.1560938
2080,0.1873609
2081,0.2061533
2082,0.165616
2083,0.2250708
2084,0.229425
2085,0.2335195
2086,0.2717406
2087,0.2453098
2088,0.2821459
2089,0.311581
2090,0.2986461
2091,0.4091861
2092,0.3564145
2093,0.33383
2094,0.3054626
2095,0.2024186
2096,0.2055913
2097,0.202
2098,0.1956246
